上课班级,选课人数,开课编号,开课课程,授课教师,教师所在院系,开课时间,上课地点,上课周次,单双周,分组名,备注
"检验2302,检验2303",11,,,,,24,T205,1,,,考试安排
"护理2301,护理2302,护理2303,护理2304",23,,,,,24,T205,1,,,考试安排
预防20级1组,1,,,,,24,T205,1,,,考试安排
"预防23级1组,预防23级2组,预防23级3组,预防23级6组",16,,,,,24,T205,1,,,考试安排
"精卫2201班1组,精卫2201班2组,精卫2201班3组,临床（五年）附二2204班8组",4,,,,,24,T209,1,,,考试安排
"基础医学22级1组,临床药学2101",3,,,,,24,T209,1,,,考试安排
"临床（五年）附三2204班7组,临床（五年）附三2204班8组",2,,,,,24,T209,1,,,考试安排
"口腔（5+3）22级2组,口腔五年20级2组,口腔五年22级2组,临床（五年）附一2202班4组,临床（五年）附一2203班5组",8,,,,,24,T209,1,,,考试安排
"临床（五年）附三2102班3组,临床（五年）附三2104班7组,临床药学2101,临床医学（八年制）2204,麻醉2101班1组,生科2101,药学2202,预防21级3组,预防22级1组,预防22级6组",10,,,,,30506070809,湘雅体育场,1,,,考试安排
"出版2101,临床（五年）附一2104班7组,临床药学2101,预防21级3组",6,,,,,30506070809,湘雅体育场,1,,,考试安排
"21级八年制附二2组,21级八年制附二4组,法医2201,护理2203,护理2204,基础医学22级1组,基础医学22级2组,检验2201,检验2202,检验2203,口腔（5+3）22级3组,口腔五年22级1组,临床（五年）附二2104班7组,临床（五年）附三2102班3组,临床药学2101,临床药学2201,临床医学（八年制）2202,临床医学（八年制）2203,临床医学（八年制）2204,生科2101,生科2201,生科T2201,生信2201,生医2201,药学2103,药学2201,药学2202,药学2203,预防21级3组",73,,,,,30506070809,湘雅体育场,1,,,考试安排
"精卫2201班3组,临床（五年）附二2201班1组,临床（五年）附二2201班2组,临床（五年）附二2202班4组,临床（五年）附二2203班5组,临床（五年）附二2204班7组,临床（五年）附二2204班9组,预防22级1组,预防22级2组,预防22级3组,预防22级4组,预防22级5组,预防22级6组,预防22级7组",25,,,,,30506070809,湘雅体育场,1,,,考试安排
"临床（五年）附一2102班4组,临床（五年）附一2201班2组,临床（五年）附一2202班4组,临床（五年）附一2203班5组,临床（五年）附一2203班6组,临床（五年）附一2204班7组,临床（五年）附一2204班8组,临床（五年）附一2205班9组,麻醉2101班1组,麻醉2201班1组,麻醉2201班2组,麻醉2201班3组",24,,,,,30506070809,湘雅体育场,1,,,考试安排
"临床（五年）附三2201班1组,临床（五年）附三2201班2组,临床（五年）附三2202班4组,临床（五年）附三2203班5组,临床（五年）附三2203班6组,临床（五年）附三2204班7组",12,,,,,30506070809,湘雅体育场,1,,,考试安排
"护理2301,护理2302",2,,,,,30910,T105,2,,,考试安排
临床（五年）附三2204班8组,4,,,,,30910,T105,2,,,考试安排
21级八年制附三4组,1,,,,,30910,T105,2,,,考试安排
"临床（五年）附一2201班1组,临床（五年）附一2203班5组,临床（五年）附一2204班8组,临床（五年）附一2205班10组",5,,,,,30910,T105,2,,,考试安排
"精卫2201班2组,临床（五年）附二2203班5组,临床（五年）附二2204班7组,临床（五年）附二2204班8组",5,,,,,30910,T105,2,,,考试安排
"基础医学2301,临五2301,临五2304,临五2305",4,,,,,30910,T106,2,,,考试安排
"临床（五年）附一2205班10组,麻醉2201班1组,麻醉2201班2组,麻醉2201班3组",5,,,,,40910,T105,1,,,考试安排
临床（五年）附二2204班8组,1,,,,,40910,T105,1,,,考试安排
"20级八年制附三4组,21级八年制附二1组,21级八年制附三4组,21级八年制附一5组",4,,,,,40910,T105,1,,,考试安排
"临床（五年）附三2202班3组,临床（五年）附三2203班6组,临床（五年）附三2204班8组",3,,,,,40910,T105,1,,,考试安排
药学2103,1,,,,,40910,T106,1,,,考试安排
"基础医学2301,基础医学拔尖2301班",6,,,,,40910,T106,1,,,考试安排
"护理2301,护理2303,预防23级1组,预防23级2组",8,,,,,40910,T106,1,,,考试安排
"法医2301,检验2303,精神医学2301,精神医学2302,口腔医学（5+3）2301,临床（五年）附三2201班1组,临床（五年）附三2203班5组,临床（五年）附三2204班7组,临五2301,临五2303,临五2304,临五2305,临五2307,临五2310,临五2312,临五2313,麻醉2201班3组,麻醉2301,麻醉2302",36,,,,,40910,T106,1,,,考试安排
药学2301,1,,,,,40910,T106,1,,,考试安排
"检验2102,麻醉2201班2组,预防20级1组",3,,,,,40910,T106,1,,,考试安排
"检验2401,检验2403,精神医学2401班,精神医学2402班,口腔五年2401,口腔五年2402,临床药学2401,临五2404,临五2408,临五2413,临五2414,药学2302",13,,,,,40910,T107,1,,,考试安排
"精神医学2401班,精神医学2402班,临五2404,临五2413",4,,,,,41,T107,1,,,考试安排
21级八年制附三4组,1,,,,,50910,T105,1,,,考试安排
"法医2201,法医2301,护理2201,护理2302,护理2304,临床药学2301,药学2301,药学2302,药学2303,预防21级1组,预防23级1组",24,,,,,50910,T106,1,,,考试安排
预防22级1组,1,,,,,50910,T106,1,,,考试安排
"法医2401,护理2201,护理2301,护理2302,护理2303,护理2401,护理2402,护理2403,护理2404,基础医学22级1组,基础医学2301,基础医学2401,临床（五年）附二2202班4组,临床药学2101,临床药学2301,临床药学2401,药学2202,预防21级6组,预防22级1组,预防23级1组,预防23级2组,预防23级3组,预防23级6组,预防2401,预防2404",63,,,,,50910,T107,1,,,考试安排
"基础医学2301,精神医学2302,口腔医学（5+3）2301,临五2304,临五2305,临五2310,临五2313,临五2314,麻醉2302",12,,,,,50910,T108,1,,,考试安排
20级八年制附二3组,1,,,,,50910,T210,1,,,考试安排
临床（五年）附一2205班10组,2,,,,,50910,T210,1,,,考试安排
20级八年制附一6组,1,,,,,50910,T210,1,,,考试安排
临床（五年）附三2204班8组,3,,,,,50910,T210,1,,,考试安排
"精卫2201班2组,精卫2201班3组,临床（五年）附二2201班2组,临床（五年）附二2204班8组",4,,,,,50910,T210,1,,,考试安排
"护理2301,检验2301,精神医学2302,临五2303,临五2307,临五2309,麻醉2302,生信2301,药学2301",15,,,,,705060708,湘雅体育场,2,,,考试安排
护理2301-02,51,202520261005284,内科护理学 （一）[讲课学时],"丁金锋[221061],郭佳[211049],黄晓婷[220205],刘莉[221322],罗媛慧[221320],毛婷[803390],孙玫[212139],张静平[803147]",湘雅护理学院,10102,L115,1-18,全周,,课表
基础医学拔尖2401班基础医学2401班,32,202520261000991,内分泌系统,"管茶香[802042],何红晖[600520],胡永斌[205089],李芳[204108],刘俊文[208050],刘瑛[203095],王慧[803168],肖玲[803178],赵璐晴[215063],周勇[213146]","湘雅基础医学院,湘雅三医院",10102,L201,2,全周,,课表
基础医学拔尖2401班基础医学2401班,33,202520261000978,生殖系统,"蔡艳[205070],范春梅[221288],何琼琼[803398],李昌琪[803120],刘持[211027],刘俊文[208050],王宽松[206094],熊鲲[803166],暨明[803320]",湘雅基础医学院,10102,L201,10-18,全周,,课表
护理2303-04,48,202520261005299,护理教育学,"陈琦蓉[220203],李学兰[404076],易巧云[802632]","湘雅护理学院,湘雅医院",10102,L313,1-18,全周,,课表
临五2411-12,67,202520261001609,组织学与胚胎学A[讲课学时],"蔡艳[205070],范春梅[221288],黄河[802910],刘俊文[208050],伍亚蓝[223034],肖玲[803178],张彬[803377]",湘雅基础医学院,10102,M401,1-17,全周,,课表
护理2401-02,51,202520261001169,基础护理学（一）,"陈嘉[210061],李现红[210064],王红红[802904],杨敏[803049],曾慧[802991]",湘雅护理学院,10102,M403,1-18,全周,,课表
生信2401,28,202520261000931,生物化学C,"陈苗[219012],陈淑华[203112],邓梅春[211039],何海伦[212024],李星[221220],刘灿华[803018],骆亚萍[802942],马昌杯[212006],汤立军[803179],赵岳涛[220038],钟慧[211195],朱飞舟[208002]",生命科学学院,10102,S104,1-18,全周,,课表
21级八年制附三1组班21级八年制附三2组班21级八年制附三3组班21级八年制附三4组,30,202520261014205,传染病学C,张磐[601429],湘雅三医院,10102,S116,5-8,全周,,课表
21级八年制附三1组班21级八年制附三2组班21级八年制附三3组班21级八年制附三4组,30,202520261014242,儿科学C,"何利[601285],李卓颖[601591],熊梦龙[602426],杨明华[603266]",湘雅三医院,10102,S116,3-4,全周,,课表
临床医学（八年制）2301,23,202520261005540,呼吸系统,"陈旦[208139],胡忠良[803399],蒋碧梅[203093],卢大华[802006],罗自强[802033],王慷慨[803299],向阳[203107],肖德胜[802941],肖玲[803178],张彬[803377],周艳[221267]",湘雅基础医学院,10102,S204,1-9,全周,,课表
临床医学（八年制）2301,23,202520261005532,泌尿系统,"冯丹丹[209039],黄河[802910],刘瑛[203095],王念[209114],王晓晟[803003],尹红玲[801816],张彬[803377],赵璐晴[215063],暨明[803320]",湘雅基础医学院,10102,S204,10-18,全周,,课表
临床医学（八年制）2302,25,202520261005535,内分泌系统,"管茶香[802042],何红晖[600520],胡永斌[205089],李芳[204108],刘俊文[208050],刘瑛[203095],王慧[803168],肖玲[803178],赵璐晴[215063],周勇[213146]","湘雅基础医学院,湘雅三医院",10102,S214,3,全周,,课表
临床医学（八年制）2302,25,202520261005535,内分泌系统,"管茶香[802042],何红晖[600520],胡永斌[205089],李芳[204108],刘俊文[208050],刘瑛[203095],王慧[803168],肖玲[803178],赵璐晴[215063],周勇[213146]","湘雅基础医学院,湘雅三医院",10102,S214,4,全周,,课表
临床医学（八年制）2302,25,202520261005535,内分泌系统,"管茶香[802042],何红晖[600520],胡永斌[205089],李芳[204108],刘俊文[208050],刘瑛[203095],王慧[803168],肖玲[803178],赵璐晴[215063],周勇[213146]","湘雅基础医学院,湘雅三医院",10102,S214,6,全周,,课表
临床医学（八年制）2302,27,202520261005499,神经系统,"蔡艳[205070],陈旦[208139],范春玲[803394],冯丹丹[209039],韩仰[209131],汉建忠[802046],胡忠良[803399],李昌琪[803120],王慧[803168],王宽松[206094],王晓晟[803003],肖玲[803178]",湘雅基础医学院,10102,S214,9-18,全周,,课表
临床医学（八年制）2203,25,202520261009803,基于案例的综合讨论（一）,"蔡艳[205070],陈旦[208139],范春梅[221288],蒋碧梅[203093],黎明[802449],刘瑛[203095],谭斯品[803396],王慧[803168],王芙艳[802452],向阳[203107],张华莉[803050],暨明[803320]",湘雅基础医学院,10102,S216,3-15,全周,,课表
临床医学（八年制）2204,23,202520261020076,医学微生物学A[讲课学时],"刘水平[801780],谭宇蓉[803378],邬国军[803195]",湘雅基础医学院,10102,S316,1-18,全周,,课表
临五2303班临五2307-09班卓越医生2301-02,25,202520261019889,高级医学英语（二）,李强[802637],外国语学院,10102,S404,10-17,全周,,课表
临五2303班临五2307-09班卓越医生2301-02,24,202520261005666,高级医学英语（二）,李强[802637],外国语学院,10102,S404,2-9,全周,,课表
临五2304-06,95,202520261005793,卫生学A,"陈继华[211223],陈律[802343],段燕英[208136],关岚[802375],黄云[803110],林茜[803128],路婵[218160],秦虹[209134],任国峰[802416],肖琳[219153],杨丽娜[207114],张宪[217105],郑温雅[219078]",湘雅公共卫生学院,10102,T105,1-18,全周,,课表
口腔医学（5+3）[2301-02]班口腔五年2301班,80,202520261005195,药理学A,"艾可龙[219177],杜洁[410823],胡长平[803382],黄琼[411325],江俊麟[803376],刘斌[12020179],彭军[207152],杨芝春[205146],袁创[221201],张晓杰[803375]","湘雅药学院,湘雅医院",10102,T106,1-18,全周,,课表
卓越医生2301-02,4,202520261020040,医学遗传学研究进展,"段然慧[209148],黄文[210049],谭洁琼[215016],张灼华[803425]","生命科学学院,校领导",10102,T107,11-18,全周,,课表
基础医学拔尖2301班基础医学2301班,23,202520261019922,医学遗传学研究进展B,"段然慧[209148],黄文[210049],谭洁琼[215016],张灼华[803425]","生命科学学院,校领导",10102,T107,11-18,全周,,课表
临五2413-14班卓越医生2401,78,202520261001045,医学伦理学,欧阳建平[803349],人文学院,10102,T108,1-18,全周,,课表
精神医学[2401-02]班麻醉[2401-02]班,73,202520261001252,生物化学C,"陈苗[219012],陈淑华[203112],邓梅春[211039],何海伦[212024],李星[221220],刘灿华[803018],骆亚萍[802942],马昌杯[212006],汤立军[803179],赵岳涛[220038],钟慧[211195],朱飞舟[208002]",生命科学学院,10102,T109,1-18,全周,,课表
临五2401-03,35,202520261001650,分子生物学C,"陈慧勇[207056],胡景平[218085],梁龙[222088],刘静[802985],罗志勇[802950],孙曙明[211172],王梓[220144],吴坤陆[205081],萧小鹃[209005],熊德慧[803306],曾赵军[803413],朱里鹏[222048],朱敏[803132]",生命科学学院,10102,T110,1-18,全周,,课表
护理2403-04班临床药学2401,82,202520261001161,系统解剖学B[讲课学时],"陈旦[208139],崔艳慧[223007],范春玲[803394],李昌琪[803120],刘娜[224074],卢大华[802006],潘爱华[803027],万莉莉[222040],王慧[803168],王晓晟[803003],熊鲲[803166],颜伟韬[223033],曾乐平[209142],张建伟[203172]",湘雅基础医学院,10102,T111,1-18,全周,,课表
药学2401-03,95,202520261001204,系统解剖学B[讲课学时],"陈旦[208139],崔艳慧[223007],范春玲[803394],李昌琪[803120],刘娜[224074],卢大华[802006],潘爱华[803027],万莉莉[222040],王慧[803168],王晓晟[803003],熊鲲[803166],颜伟韬[223033],曾乐平[209142],张建伟[203172]",湘雅基础医学院,10102,T112,1-18,全周,,课表
临床医学（八年制）2303-04,48,202520261005509,习近平新时代中国特色社会主义思想概论,邢旭[222116],马克思主义学院,10102,T205,1-18,全周,,课表
临床医学（八年制）2201-02,50,202520261009770,创新创业导论,罗春雷[134247],机电工程学院,10102,T206,3-18,全周,,课表
临五2407-10,60,202520261001443,医学科学研究与设计,"胡国清[803358],胡明[207119],李广迪[218078],宁佩珊[220064],饶蓁蓁[222052],史静琤[803139],王一任[803215],颜艳[802394],杨芳[210122],杨土保[802329]",湘雅公共卫生学院,10102,T207,11-18,全周,,课表
临五2310-12,14,202520261005676,健康教育学,"龚雯洁[208122],刘小群[214031],罗家有[802376],彭松绪[219109],吴明洋[222227]",湘雅公共卫生学院,10102,T208,11-18,全周,,课表
临五2310-12,9,202520261020024,药物毒理学,"关岚[802375],罗纲[220059],肖芳[601873],曾明[802371]","湘雅公共卫生学院,湘雅三医院",10102,T208,3-10,全周,,课表
检验2401-03,60,202520261001709,马克思主义基本原理,徐如刚[220268],马克思主义学院,10102,T209,1-16,全周,,课表
法医2401班临五2404-06,37,202520261001520,信息检索B,"胡德华[803298],黄碧云[802545],姜浩[220061],刘海霞[803255],谌婷[221283],虢毅[803085]",生命科学学院,10102,T210,3-15,全周,,课表
预防2401-04,98,202520261001064,公共卫生与预防医学概论,"胡国清[803358],开天瀚[221340],李杏莉[803367],罗丹[802906],肖芳[212214],张宪[217105]",湘雅公共卫生学院,10102,T211,9-16,全周,,课表
临床（五年）附三[22011-12]班组临床（五年）附三[22023-24]班组临床（五年）附三[22035-36]班组临床（五年）附三[22047-48]班组,135,202520261009670,内科学A[讲课学时],"蔡菁菁[602152],陈科[601438],邓煦[602707],桂明[600203],胡静[600961],蒋铁斌[600216],金萍[600853],李安莹[600984],李颖[601937],李昕[600925],刘纯[600519],刘芬[601336],刘纪实[601082],刘竞[600210],刘少俊[600570],孟婕[603260],彭丽萍[600748],孙剑[600959],孙圣华[600218],田力[601431],涂珊[601595],王二华[600946],王芬[600880],王晓艳[600885],王晓艳[601850],谢丽华[601071],易斌[601388],张浩[600215],张志辉[600869],赵立玲[601910],赵莲[601963]",湘雅三医院,10102,T211,1-2,全周,,课表
临五2301-02,64,202520261005826,病理学A[讲课学时],"何琼琼[803398],胡永斌[205089],胡忠良[803399],罗庚求[203104],王宽松[206094],肖德胜[802941],尹红玲[801816],赵璐晴[215063]",湘雅基础医学院,10102,T212,1-18,全周,,课表
口腔医学（5+3）2401-02班口腔五年2401-02,87,202520261001026,组织学与胚胎学A[讲课学时],"蔡艳[205070],范春梅[221288],黄河[802910],刘俊文[208050],伍亚蓝[223034],肖玲[803178],张彬[803377]",湘雅基础医学院,10102,T308,1-17,全周,,课表
21级八年制附三1组班21级八年制附三2组班21级八年制附三3组班21级八年制附三4组,30,202520261014260,内科学C,"艾飞艳[602695],曹宇[600569],陈科[601438],陈雄[600747],桂明[600203],何红晖[600520],蒋铁斌[600216],蒋卫红[600201],金萍[600853],李颖[601937],李昕[600925],刘纯[600519],刘纪实[601082],刘少俊[600570],刘妍[601597],孟婕[603260],孙圣华[600218],唐晓鸿[600306],田力[601431],王二华[600946],王芬[600880],王建文[601020],王晓艳[600885],王晓艳[601850],谢丽华[601071],徐灿霞[600317],易斌[601388],张浩[600215],张志辉[600869],赵立玲[601910]",湘雅三医院,101020304,S116,11-12,全周,,课表
检验2301-03,62,202520261005572,疾病学概论（二）[讲课学时],"蔡立峰[600813],陈丽敏[601047],丁波泥[600574],冯超[600974],甘毅[600994],龚健[600960],郭一航[602570],何爱桦[603491],黄芳[600705],金龙玉[600249],李巧燕[602271],李志跃[600940],刘宇[601058],刘振国[600736],沈民仁[601107],宋智[601911],孙吉春[601027],汪长发[601340],王电军[600862],王国慧[601335],王陆颖[601795],王楠[601820],文言广[600990],肖芳[601873],姚鲲[602053],易波[600831],余枭[600932],曾向阳[602233],张浩晔[600580],张磐[601429],张翼[600910],张玉平[600922],周建大[600252],周勇[600787]",湘雅三医院,101020304,T307,1-18,全周,,课表
生医2401（科创班）,30,202520261001002,仪器分析（医学类）,张翼[208037],化学化工学院,10304,L113,3-12,全周,,课表
护理2403-04,54,202520261001167,生理学B,"冯丹丹[209039],管茶香[802042],韩仰[209131],汉建忠[802046],刘持[211027],唐怡庭[214005],向阳[203107],周艳[221267],周勇[213146],暨明[803320],瞿湘萍[211013]",湘雅基础医学院,10304,L115,1-18,全周,,课表
卓越医生2301-02,36,202520261005461,局部解剖学[讲课学时],"陈旦[208139],崔艳慧[223007],范春玲[803394],李昌琪[803120],卢大华[802006],潘爱华[803027],万莉莉[222040],王慧[803168],王晓晟[803003],熊鲲[803166],曾乐平[209142],张建伟[203172]",湘雅基础医学院,10304,L201,1-18,全周,,课表
临床药学2401,34,202520261001206,生理学B,"冯丹丹[209039],管茶香[802042],韩仰[209131],汉建忠[802046],刘持[211027],唐怡庭[214005],向阳[203107],周艳[221267],周勇[213146],暨明[803320],瞿湘萍[211013]",湘雅基础医学院,10304,L313,1-18,全周,,课表
临五2413-14,65,202520261001606,组织学与胚胎学A[讲课学时],"蔡艳[205070],范春梅[221288],黄河[802910],刘俊文[208050],伍亚蓝[223034],肖玲[803178],张彬[803377]",湘雅基础医学院,10304,M401,1-17,全周,,课表
生科2401,31,202520261000909,生物化学A,"陈苗[219012],陈淑华[203112],邓梅春[211039],何海伦[212024],李星[221220],刘灿华[803018],骆亚萍[802942],马昌杯[212006],汤立军[803179],赵岳涛[220038],钟慧[211195],朱飞舟[208002]",生命科学学院,10304,S104,1-18,全周,,课表
生医2301,12,202520261005144,虚拟仪器,"彭宽[212009],王波[220054]",湘雅基础医学院,10304,S116,3-8,全周,,课表
临床医学（八年制）2304,25,202520261005538,呼吸系统,"蔡艳[205070],陈旦[208139],范春梅[221288],蒋碧梅[203093],黎明[802449],刘瑛[203095],谭斯品[803396],王慧[803168],王芙艳[802452],向阳[203107],张华莉[803050],周艳[221267],暨明[803320]",湘雅基础医学院,10304,S204,2-9,全周,,课表
临床医学（八年制）2304,24,202520261005530,泌尿系统,"冯丹丹[209039],黄河[802910],刘瑛[203095],王念[209114],王晓晟[803003],尹红玲[801816],张彬[803377],赵璐晴[215063],暨明[803320]",湘雅基础医学院,10304,S204,10-18,全周,,课表
临床医学（八年制）2303,24,202520261005473,生殖系统,"蔡艳[205070],范春梅[221288],何琼琼[803398],李昌琪[803120],刘持[211027],刘俊文[208050],王宽松[206094],熊鲲[803166],暨明[803320]",湘雅基础医学院,10304,S214,11-18,全周,,课表
临床医学（八年制）2303,24,202520261005505,消化系统,"范春玲[803394],韩仰[209131],何琼琼[803398],胡忠良[803399],黄河[802910],蒋碧梅[203093],卢大华[802006],罗庚求[203104],谭斯品[803396],肖德胜[802941],张彬[803377],瞿湘萍[211013]",湘雅基础医学院,10304,S214,1-10,全周,,课表
卓越医生2401,17,202520261001671,生物化学C,"陈苗[219012],陈淑华[203112],邓梅春[211039],何海伦[212024],李星[221220],刘灿华[803018],骆亚萍[802942],马昌杯[212006],汤立军[803179],赵岳涛[220038],钟慧[211195],朱飞舟[208002]",生命科学学院,10304,S216,1-18,全周,,课表
临床医学（八年制）2202,25,202520261020044,医学免疫学A,"霍治[803331],谭婷婷[219138],王洁[803300]",湘雅基础医学院,10304,S217,1-16,全周,,课表
