上课班级,选课人数,开课编号,开课课程,授课教师,教师所在院系,开课时间,上课地点,上课周次,单双周,分组名,备注
运训2501-03,74,202520261019664,军事理论,郭鹏飞,马克思主义学院,10304,D座123,"2-4,8-20",全周,,调课
临床医学（八年制）2503-04,50,202520261016693,思想道德与法治,欧阳鹏,马克思主义学院,10304,D座125,"2-4,8-20",全周,,调课
口腔医学（5+3）2502,25,202520261016476,大学英语（一）,唐媛,外国语学院,10304,外语网络楼105,"2-4,8-20",全周,,调课
能源类2501,30,202520261018282,大学英语（一）,夏志明,外国语学院,10304,外语网络楼107,"2-4,8-20",全周,,调课
交通运输类2503,26,202520261018177,大学英语（一）,夏志明,外国语学院,10304,外语网络楼107,"2-4,8-20",全周,,调课
临床药学2501,31,202520261016591,大学英语（一）,顾兰,外国语学院,10304,外语网络楼108,"2-4,8-20",全周,,调课
交通运输类2505,27,202520261018174,大学英语（一）,吴宁,外国语学院,10304,外语网络楼108,"2-4,8-20",全周,,调课
临班,30,202520261015182,大学基础英语（三）,王文燕,外国语学院,10304,外语网络楼137,3-18,全周,,调课
土木国际2503,30,202520261017745,雅思听说（一）,欧阳婷,外国语学院,10304,外语网络楼138,"2-4,8-20",全周,,调课
外国语言文学类2503,20,202520261019797,中国文化概要,耿俐琴,外国语学院,10304,外语网络楼208,"2-4,8-20",全周,,调课
英语2203,24,202520261010153,语言与文化,周觉知,外国语学院,10304,外语网络楼215,1-16,全周,,调课
外国语言文学类2503,20,202520261019797,中国文化概要,耿俐琴,外国语学院,10304,外语网络楼216,"2-4,8-20",全周,,调课
遥感测绘地信类2505,27,202520261019140,大学英语（一）,熊卉,外国语学院,10304,外语网络楼232,"2-4,8-20",全周,,调课
地勘2502,29,202520261019071,大学英语（一）,赵蕙,外国语学院,10304,外语网络楼345,"2-4,8-20",全周,,调课
计算机类2503,33,202520261016122,大学英语（一）,王冰,外国语学院,10304,外语网络楼346,"2-4,8-20",全周,,调课
遥感测绘地信类2505,27,202520261019140,大学英语（一）,熊卉,外国语学院,10304,外语网络楼347,"2-4,8-20",全周,,调课
自动化与电气类2511,31,202520261015858,大学英语（一）,傅晓燕,外国语学院,10304,外语网络楼349,"2-4,8-20",全周,,调课
预防2501,29,202520261016516,大学英语（一）,向艳,外国语学院,10304,外语网络楼447,"2-4,8-20",全周,,调课
临班,36,202520261015259,高级英语（一）,唐陆军,外国语学院,10304,外语网络楼451,3-18,全周,英汉笔译,调课
运训2501,25,202520261016312,大学基础英语（一）,何佳,外国语学院,10304,外语网络楼453,"2-4,8-20",全周,,调课
运训2501,25,202520261016312,大学基础英语（一）,何佳,外国语学院,10304,外语网络楼453,"2-4,8-20",全周,,调课
信科2401-02,76,202520261002631,形势与政策,李江浩,马克思主义学院,10506,A座101,"9,13",全周,,调课
国贸2301-02,39,202520261006421,海关实务,郑传均,商学院,10506,A座102,1,全周,,调课
测控2401班测绘2401-02,51,202520261004146,中国近现代史纲要,李斌,马克思主义学院,10506,A座102,3-18,全周,,调课
测控2401班测绘2401-02,51,202520261004146,中国近现代史纲要,李斌,马克思主义学院,10506,A座102,3-18,全周,,调课
机械类2509-10,56,202520261018579,工程制图与数字化表达（一）,周亮,机电工程学院,10506,A座113,"2-4,9-19",全周,,调课
机械类2517-18,56,202520261018580,工程制图与数字化表达（一）,刘景琳,机电工程学院,10506,A座114,"2-4,9-19",全周,,调课
土木D2201-03,78,202520261008447,形势与政策,易佳乐,马克思主义学院,10506,A座122,"7,11",全周,,调课
地勘T2301,29,202520261008350,地球化学,张德贤,地球科学与信息物理学院,10506,A座123,2-8,全周,,调课
粉体2403-04,19,202520261003419,科学素养与科研方法,伍秋美,粉末冶金研究院,10506,A座201,1-8,全周,,调课
智能2301-03,27,202520261004622,智能飞行机器人控制系统,陈琪锋,自动化学院,10506,A座204,11-18,全周,,调课
机械类2509-10,56,202520261018579,工程制图与数字化表达（一）,周亮,机电工程学院,10506,A座211,"2-4,9-19",全周,,调课
地勘2401-03,45,202520261004196,科学计算与Python语言,毛先成,地球科学与信息物理学院,10506,A座213,2-8,全周,,调课
机械类2503-04,56,202520261018572,工程制图与数字化表达（一）,杨放琼,机电工程学院,10506,A座215,"2-4,9-19",全周,,调课
自动化2301-02,63,202520261004506,信号处理与系统分析,蓝丽娟,自动化学院,10506,A座320,3-10,全周,,调课
电气2305-07,30,202520261004328,现代控制理论,柳张杰,自动化学院,10506,A座320,11-18,全周,,调课
软件工程2506-07,56,202520261016015,思想道德与法治,张桐,马克思主义学院,10506,A座413,"2-4,8-20",全周,,调课
自动化2305-08,105,202520261004486,现代电力电子技术,董密,自动化学院,10506,B座102,3-18,全周,,调课
地信2301-02,37,202520261008295,空间统计基础,刘启亮,地球科学与信息物理学院,10506,B座103,3-8,全周,,调课
电信2301-04,27,202520261004532,Python程序设计,李仪,自动化学院,10506,B座108,11-18,全周,,调课
计算机类2512-13,66,202520261017126,军事理论,朱茜玉,马克思主义学院,10506,B座111,"2-4,8-20",全周,,调课
信安2401-03,65,202520261000717,面向对象编程（C++）,阚世超,计算机学院,10506,B座112,1-16,单周,,调课
出版2401-02,56,202520261002194,中外出版史,马薇薇,人文学院,10506,B座118,2-5,全周,,调课
法学2503,30,202520261016971,民法总论,夏沁,法学院,10506,B座118,"2-4,8-16",全周,,调课
信安2301-04,70,202520261004683,软件工程,李祖德,计算机学院,10506,B座205,1-16,全周,,调课
信安2301-04,70,202520261004683,软件工程,李祖德,计算机学院,10506,B座205,1-16,全周,,调课
应化2403-04,56,202520261002491,有机化学A（一）,彭红建,化学化工学院,10506,B座205,1-14,全周,,调课
自动化2501（西伯利亚留学生班）,25,202520261015950,模拟电子技术,刘献如,自动化学院,10506,B座207,3-16,全周,,调课
电信2301-04,56,202520261004560,自动控制原理,时伟,自动化学院,10506,B座308,11-18,全周,,调课
地物2401-03,22,202520261004085,地球物理特殊方程,童孝忠,地球科学与信息物理学院,10506,B座402,9-16,全周,,调课
大数据2303-04,57,202520261014799,分布式系统与云计算,李玺,计算机学院,10506,B座404,1-16,全周,,调课
能动2404-06,79,202520261003158,中国近现代史纲要,梅乐,马克思主义学院,10506,B座411,3-18,全周,,调课
遥感测绘地信类2504-06,83,202520261016042,军事理论,黄伟韬,马克思主义学院,10506,B座412,"2-4,8-20",全周,,调课
计算机类2506-08,100,202520261016158,离散数学,沈海澜,计算机学院,10506,B座502,"2-4,9-17",全周,,调课
测控2401班测绘2401-02,51,202520261004146,中国近现代史纲要,李斌,马克思主义学院,10506,B座504,3-18,全周,,调课
测控2401班测绘2401-02,51,202520261004146,中国近现代史纲要,李斌,马克思主义学院,10506,B座504,3-18,全周,,调课
计算机类2506-08,100,202520261016158,离散数学,沈海澜,计算机学院,10506,B座508,"2-4,9-17",全周,,调课
智能2301-03,14,202520261004616,数字信号处理,廖宇新,自动化学院,10506,B座512,1-8,全周,,调课
法学2501-03,92,202520261019707,形势与政策,易孝慈,人文学院,10506,C座112,"9,13",全周,,调课
法学2501-03,92,202520261019707,形势与政策,易孝慈,人文学院,10506,C座112,"9,13",全周,,调课
轨道交通安全类2501-03,75,202520261017902,形势与政策,谢琰,马克思主义学院,10506,C座203,"9,13",全周,,调课
应数2401-03,73,202520261002664,实变函数,龙珑,数学与统计学院,10506,C座307,3-18,全周,,调课
应化2403-04,56,202520261002491,有机化学A（一）,彭红建,化学化工学院,10506,C座403,1-14,全周,,调课
土木2410-12,62,202520261002716,形势与政策,周全,马克思主义学院,10506,C座502,"9,13",全周,,调课
冶金材料类2528-30,84,202520261018272,形势与政策,姜芳蕊,马克思主义学院,10506,C座507,"9,13",全周,,调课
冶金材料类2528-30,84,202520261018272,形势与政策,姜芳蕊,马克思主义学院,10506,C座507,"9,13",全周,,调课
遥感测绘地信类2501-03,83,202520261019148,思想道德与法治,吴倩,马克思主义学院,10506,D座103,"2-4,8-20",全周,,调课
大数据2401-03,78,202520261000683,中国近现代史纲要,秦勤,马克思主义学院,10506,D座123,3-18,全周,,调课
化学生物环境类2514,23,202520261017493,大学英语（一）,欧阳婷,外国语学院,10506,外语网络楼105,"2-4,8-20",全周,,调课
地质2502,28,202520261019094,大学英语（一）,赵蕙,外国语学院,10506,外语网络楼106,"2-4,8-20",全周,,调课
冶金材料类2527,27,202520261018784,大学英语（一）,荣觅,外国语学院,10506,外语网络楼108,"2-4,8-20",全周,,调课
临班,14,202520261015186,大学基础英语（三）,王文燕,外国语学院,10506,外语网络楼137,3-18,全周,,调课
临班,29,202520261015183,大学基础英语（三）,李曼青,外国语学院,10506,外语网络楼138,3-18,全周,,调课
地物2502,27,202520261019039,大学英语（一）,乔冰菡,外国语学院,10506,外语网络楼223,"2-4,8-20",全周,,调课
地质2502,28,202520261019094,大学英语（一）,赵蕙,外国语学院,10506,外语网络楼345,"2-4,8-20",全周,,调课
化学生物环境类2512,28,202520261017483,大学英语（一）,朱妮娅,外国语学院,10506,外语网络楼354,"2-4,8-20",全周,,调课
土木国际2501,30,202520261017743,雅思听说（一）,赵科红,外国语学院,10506,外语网络楼445,"2-4,8-20",全周,,调课
冶金材料类2502,27,202520261018797,大学英语（一）,王华玲,外国语学院,10506,外语网络楼449,"2-4,8-20",全周,,调课
轨道交通安全类2517,27,202520261017958,大学英语（一）,刘羽,外国语学院,10506,外语网络楼451,"2-4,8-20",全周,,调课
轨道交通安全类2517,27,202520261017958,大学英语（一）,刘羽,外国语学院,10506,外语网络楼451,"2-4,8-20",全周,,调课
理工预科2504,32,202520261016905,英语（一）,唐陆军,外国语学院,10506,外语网络楼451,"2-9,11-18",全周,,调课
土木国际2501,30,202520261017743,雅思听说（一）,赵科红,外国语学院,10506,外语网络楼454,"2-4,8-20",全周,,调课
城地2401-03,85,202520261004002,中国近现代史纲要,李斌,马克思主义学院,10708,A座104,3-18,全周,,调课
中文2404-05,58,202520261002108,基础写作,邓梦燕,人文学院,10708,A座104,1-8,全周,,调课
音乐表演2501-02班舞蹈表演2501,23,202520261016991,形势与政策,易佳乐,马克思主义学院,10708,A座110,"9,13",全周,,调课
音乐表演2201-02班舞蹈表演2201,54,202520261010005,形势与政策,易佳乐,马克思主义学院,10708,A座110,"7,11",全周,,调课
音乐表演2301-02班舞蹈表演2301,60,202520261005992,形势与政策,易佳乐,马克思主义学院,10708,A座110,"8,12",全周,,调课
冶金材料类2516-18,83,202520261016503,国家安全教育,张子峻,马克思主义学院,10708,A座110,15-20,全周,,调课
音乐表演2201-02班舞蹈表演2201,54,202520261010005,形势与政策,易佳乐,马克思主义学院,10708,A座110,"7,11",全周,,调课
音乐表演2201-02班舞蹈表演2201,54,202520261010005,形势与政策,易佳乐,马克思主义学院,10708,A座110,"7,11",全周,,调课
音乐表演2201-02班舞蹈表演2201,54,202520261010005,形势与政策,易佳乐,马克思主义学院,10708,A座119,"7,11",全周,,调课
测绘2401-02,38,202520261004143,大地测量学基础,蔡昌盛,地球科学与信息物理学院,10708,A座123,9-10,全周,,调课
日语2301班英语2305,44,202520261006062,习近平新时代中国特色社会主义思想概论,涂亦嘉,马克思主义学院,10708,A座201,3-18,全周,,调课
地勘2301-03,10,202520261008370,遥感地质学,张建东,地球科学与信息物理学院,10708,A座204,11-18,全周,,调课
机械类2513-14,56,202520261018574,工程制图与数字化表达（一）,赵先琼,机电工程学院,10708,A座212,"2-4,9-19",全周,,调课
机械2305,34,202520261007531,机械制造工程（一）,陈志,机电工程学院,10708,A座213,1-16,全周,,调课
冶金材料类2503-04,55,202520261018851,工程制图基础A,杨放琼,机电工程学院,10708,A座214,"2-4,8-20",全周,,调课
车辆2301,23,202520261007415,车辆工程材料基础,翟瞻宇,机电工程学院,10708,A座223,1-8,全周,,调课
工管2401-02,56,202520261002934,工程管理概论,王青娥,土木工程学院,10708,A座317,3-6,全周,,调课
应化2404-06,85,202520261002462,形势与政策,白丹妮,化学化工学院,10708,A座318,"9,13",全周,,调课
测绘2401-02,38,202520261004143,大地测量学基础,蔡昌盛,地球科学与信息物理学院,10708,A座318,1-8,全周,,调课
机械2313,47,202520261007600,金属塑性成形原理,陈明松,轻合金研究院,10708,B座107,11-18,全周,,调课
大数据2301-02,68,202520261004902,分布式系统与云计算,余腊生,计算机学院,10708,B座108,1-16,单周,,调课
出版2401-03,38,202520261002230,人际传播与沟通,马薇薇,人文学院,10708,B座208,11-18,全周,,调课
地信2401,24,202520261004172,地图学概论,刘慧敏,地球科学与信息物理学院,10708,B座210,1-8,全周,,调课
出版T2401班出版2403,16,202520261002235,新闻采访与写作,马薇薇,人文学院,10708,B座217,2-9,全周,,调课
中文2404-05,50,202520261002133,汉字与文化,李明,人文学院,10708,B座302,11-18,全周,,调课
理工预科2501-04,129,202520261016907,基础化学（一）,肖旭贤,化学化工学院,10708,B座314,"2-9,11-18",全周,,调课
金融2401-03,70,202520261002275,政治经济学,祝平衡,商学院,10708,B座315,9-16,全周,,调课
法学2401-05,37,202520261001774,西方法律思想史,陈越瓯,法学院,10708,B座404,1-16,全周,,调课
计算机T2401,19,202520261000495,计算机组成原理与汇编,赵荣昌,计算机学院,10708,B座406,1-16,全周,,调课
大数据2401-02,57,202520261000691,计算机组成原理与汇编,陈再良,计算机学院,10708,B座406,1-16,全周,,调课
机械2306-07,51,202520261015241,智能制造装备与系统（一）,刘德福,机电工程学院,10708,B座408,9-16,全周,,调课
信安2301-04,75,202520261004659,分布式系统与云计算,李玺,计算机学院,10708,B座408,1-16,全周,,调课
计算机类2512-13,67,202520261016153,离散数学,匡湖林,计算机学院,10708,B座408,"2-4,9-17",全周,,调课
机械2201-04班机械2208,40,202520261011793,现代机电一体化系统设计,张友旺,机电工程学院,10708,B座408,3-12,全周,,调课
大数据2303-04,57,202520261014799,分布式系统与云计算,李玺,计算机学院,10708,B座408,1-16,全周,,调课
中文2404-05,58,202520261002108,基础写作,邓梦燕,人文学院,10708,B座408,1-8,全周,,调课
中文2404-05,58,202520261002108,基础写作,邓梦燕,人文学院,10708,B座408,1-8,全周,,调课
法医2501,27,202520261016427,法医学概论,马琼山,湘雅基础医学院,10708,B座504,11,全周,,调课
行政2502,26,202520261016372,政治学原理,雷望红,公共管理学院,10708,B座508,"2-4,8-16",全周,,调课
通信2405,24,202520261000802,基础数理统计,夏子晴,电子信息学院,10708,B座508,1-16,全周,,调课
电气2301-07,78,202520261004343,EDA技术与应用,宁光富,自动化学院,10708,B座510,3-10,全周,,调课
中文2404-05,58,202520261002108,基础写作,邓梦燕,人文学院,10708,B座513,1-8,全周,,调课
应物T2501,0,202520261017626,力学,彭政,物理学院,10708,B座513,"2-4,8-20",全周,,调课
遥感2401-03,35,202520261004118,数据结构,汤玉奇,地球科学与信息物理学院,10708,B座517,1-10,全周,,调课
城地2401-03,85,202520261004002,中国近现代史纲要,李斌,马克思主义学院,10708,C座108,3-18,全周,,调课
遥感测绘地信类2501-03,83,202520261018503,军事理论,黄伟韬,马克思主义学院,10708,C座108,"2-4,8-20",全周,,调课
地物2403,23,202520261004072,数字信号分析与数据处理,张大洲,地球科学与信息物理学院,10708,C座205,1-8,全周,,调课
交运2402,26,202520261002994,铁路运输设备,张云丽,交通运输工程学院,10708,C座207,1-8,全周,,调课
遥感2401-03班测绘2401-02,110,202520261004098,电工技术B,毛先柏,自动化学院,10708,C座304,3-18,全周,,调课
大数据2401-02,57,202520261000691,计算机组成原理与汇编,陈再良,计算机学院,10708,C座304,1-16,全周,,调课
大数据2401-02,57,202520261000691,计算机组成原理与汇编,陈再良,计算机学院,10708,C座307,1-16,全周,,调课
机械2304,33,202520261007523,机械制造工程（一）,刘德福,机电工程学院,10708,C座307,1-16,全周,,调课
机械2306-07,51,202520261015241,智能制造装备与系统（一）,刘德福,机电工程学院,10708,C座307,9-16,全周,,调课
法医2501,27,202520261016427,法医学概论,闫杰,湘雅基础医学院,10708,C座503,"2-4,8-10,12-20",双周,,调课
