上课班级,选课人数,开课编号,开课课程,授课教师,教师所在院系,开课时间,上课地点,上课周次,单双周,分组名,备注
自动化与电气类2503-05,94,202520262000338,电路,李中华,自动化学院,10102,B座511,1-16,全周,,调课
冶金2403-04,56,202520262007525,工科大学化学—物理化学A(二),丁治英,化学化工学院,10102,C座109,1-10,全周,,调课
化工2401-04,0,202520262006302,智能化工,邱波,化学化工学院,10102,C座204,9-14,全周,,调课
测绘2301班地信2301-02,81,202520262019731,形势与政策,晏湘涛,马克思主义学院,10102,C座204,"7,11",全周,,调课
交通运输类2501-03,76,202520262002545,国家安全教育,柯闻秀,马克思主义学院,10102,C座205,"10-12,14-16",全周,,调课
交通运输类2504-06,79,202520262002810,大学生心理健康教育（二）,江胜珍,马克思主义学院,10102,C座205,"10-12,14-16",全周,,调课
交通运输类2501-03,76,202520262002545,国家安全教育,柯闻秀,马克思主义学院,10102,C座410,"10-12,14-16",全周,,调课
临床医学五年类2512-14,88,202520262001362,中国近现代史纲要,雷芳,马克思主义学院,10102,C座507,1-16,全周,,调课
冶金材料类2507-09,83,202520262003362,大学生心理健康教育（二）,刘勇为,马克思主义学院,10102,C座508,"10-12,14-16",全周,,调课
信管T2301,0,202520262011367,服务运营管理,卫立群,商学院,10102,D座101,9-16,全周,,调课
自动化T2301班自动化2307-08,90,202520262008241,习近平新时代中国特色社会主义思想概论,刘少博,马克思主义学院,10102,D座206,1-16,全周,,调课
冶金材料类2506,28,202520262003456,大学英语（二）,李俊芳,外国语学院,10102,外语网络楼101,1-16,全周,,调课
临床药学2501,30,202520262001094,大学英语（二）,顾兰,外国语学院,10102,外语网络楼108,1-16,全周,,调课
英语2402,25,202520262005751,英语议论文写作,赵培玲,外国语学院,10102,外语网络楼206,1-16,全周,,调课
日语2401班英语2404,14,202520262005750,英语议论文写作,王晓东,外国语学院,10102,外语网络楼213,1-16,全周,,调课
交通运输类2510,27,202520262002840,大学英语（二）,陈慧,外国语学院,10102,外语网络楼227,1-16,全周,,调课
电子信息类2506,35,202520262000727,大学英语（二）,李艳花,外国语学院,10102,外语网络楼229,1-16,全周,,调课
行政2503,26,202520262000864,大学英语（二）,严安,外国语学院,10102,外语网络楼231,1-16,全周,,调课
电子信息类2507,35,202520262000736,大学英语（二）,石海英,外国语学院,10102,外语网络楼451,1-16,全周,,调课
舞蹈表演2401,0,202520262005522,毯子功（二）,周智辉,建筑与艺术学院,10102,艺术楼109,1-16,全周,,调课
应数2301-02,57,202520262011629,习近平新时代中国特色社会主义思想概论,李金昕,马克思主义学院,10304,A座110,1-16,全周,,调课
地信2301-02,0,202520262013853,GIS工程,邓吉秋,地球科学与信息物理学院,10304,A座124,9-16,全周,,调课
地物2403,20,202520262007855,地震学与地震勘探,张大洲,地球科学与信息物理学院,10304,A座223,1-8,全周,,调课
机械（材料制造）2401,17,202520262007221,机械精度设计,傅志红,机电工程学院,10304,A座223,9-16,全周,,调课
地物2301-03,0,202520262013951,碳存储选址与监测技术,李磊,地球科学与信息物理学院,10304,A座312,1-8,全周,,调课
机械2404,33,202520262007207,计算方法与Matlab应用,李艳,机电工程学院,10304,A座312,9-14,全周,,调课
智能2401（科创班）,0,202520262003927,嵌入式系统,杨德贵,自动化学院,10304,A座318,1-8,全周,,调课
出版2403,28,202520262005980,中外新闻史,马薇薇,人文学院,10304,A座319,1-4,全周,,调课
应数2401-03,77,202520262006448,复变函数,贺福利,数学与统计学院,10304,A座410,3-16,全周,,调课
艺科2501-03,57,202520262018307,形势与政策,李婷,马克思主义学院,10304,B座111,"9,13",全周,,调课
智能2301-02,65,202520262008336,深度学习,李仪,自动化学院,10304,B座118,9-16,全周,,调课
智能2301-02,65,202520262008336,深度学习,李仪,自动化学院,10304,B座118,9-16,全周,,调课
应化2304-05,0,202520262011442,专业英语,吴倩,化学化工学院,10304,B座118,1-8,全周,,调课
智能2401-04,0,202520262004113,计算机图形学,李仪,自动化学院,10304,B座118,9-16,全周,,调课
测绘2301-02,0,202520262013868,组合导航,余文坤,地球科学与信息物理学院,10304,B座206,9-16,全周,,调课
能动2402班能动2405,49,202520262006956,传热学,孔凡红,能源科学与工程学院,10304,B座217,10-16,全周,,调课
自动化2305-06,62,202520262008248,电机拖动与运动控制系统,黄志武,自动化学院,10304,B座302,9-16,全周,,调课
自动化2305-06,62,202520262008248,电机拖动与运动控制系统,黄志武,自动化学院,10304,B座302,1-8,全周,,调课
电气2405-06,58,202520262004023,自动控制原理,林建亨,自动化学院,10304,B座308,1-16,全周,,调课
自动化2305-06,62,202520262008248,电机拖动与运动控制系统,黄志武,自动化学院,10304,B座320,1-8,全周,,调课
国贸2401-02,0,202520262006093,数理经济学,胡唯真,商学院,10304,B座320,1-8,全周,,调课
机械2302,0,202520262012786,传感器与测试技术,魏文元,机电工程学院,10304,B座401,1-8,全周,,调课
自动化2305-06,62,202520262008248,电机拖动与运动控制系统,黄志武,自动化学院,10304,B座404,1-8,全周,,调课
经济管理类2508,32,202520262002048,宏观经济学,李康祥,商学院,10304,B座405,1-12,全周,,调课
地勘T2301,0,202520262013888,遥感地质学,张建东,地球科学与信息物理学院,10304,B座408,9-16,全周,,调课
工商2401-02,45,202520262006168,财务管理学,章细贞,商学院,10304,B座408,1-8,全周,,调课
自动化2305-06,62,202520262008248,电机拖动与运动控制系统,黄志武,自动化学院,10304,B座408,9-16,全周,,调课
电信2301-04,0,202520262008298,数据库原理与技术,陈科文,自动化学院,10304,B座413,1-8,全周,,调课
自动化T2401班自动化2407-08,0,202520262004188,系统建模与仿真技术,刘芳,自动化学院,10304,B座414,1-8,全周,,调课
国贸2301-02,0,202520262011346,区域经济学,冷俊峰,商学院,10304,B座414,1-8,全周,,调课
材料Q2401,18,202520262007340,材料科学基础A（一）,蔡格梅,材料科学与工程学院,10304,B座415,1-14,全周,,调课
通信2404-05,53,202520262004559,通信与网络,张晓勇,电子信息学院,10304,B座415,1-16,全周,,调课
软件工程2501-03,87,202520262000449,大学生心理健康教育（二）,欧阳鹏,马克思主义学院,10304,B座419,"10-12,14-16",全周,,调课
遥感2301-02,0,202520262013804,环境遥感,冯徽徽,地球科学与信息物理学院,10304,B座419,1-8,全周,,调课
地信2302,28,202520262013859,网络地理信息系统,李光强,地球科学与信息物理学院,10304,B座503,1-8,全周,,调课
机械2409,32,202520262007143,机械精度设计,汤晓明,机电工程学院,10304,B座503,9-16,全周,,调课
机械2301,0,202520262012801,嵌入式系统原理与应用（二）,罗梅竹,机电工程学院,10304,B座506,1-10,全周,,调课
电气2301-07,0,202520262008133,电力电子系统建模与控制,王辉,自动化学院,10304,B座513,9-16,全周,,调课
自动化2303-04,0,202520262008207,机器人技术基础,陈白帆,自动化学院,10304,B座513,9-16,全周,,调课
智能2401（科创班）,29,202520262003928,自动控制原理,时伟,自动化学院,10304,B座517,9-16,全周,,调课
能源类2510-11,60,202520262002952,大学生心理健康教育（二）,刘建亚,马克思主义学院,10304,C座104,"10-12,14-16",全周,,调课
土木D2401-03,83,202520262018511,形势与政策,范帆,邓迪国际学院,10304,C座109,"8,12",全周,,调课
地信2401-03,75,202520262007931,面向对象程序设计,唐建波,地球科学与信息物理学院,10304,C座205,9-16,全周,,调课
冶金2405-06,55,202520262007520,工科大学化学—化学分析,张代亮,化学化工学院,10304,C座206,1-6,全周,,调课
自动化T2401班自动化2407-08,0,202520262004188,系统建模与仿真技术,刘芳,自动化学院,10304,C座308,1-8,全周,,调课
国贸2401-02,60,202520262006079,跨境电子商务,祝平衡,商学院,10304,C座308,9-16,全周,,调课
电子信息类2510-11,67,202520262000748,创新创业导论,方靖岳,电子信息学院,10304,C座408,1-16,全周,,调课
化工2401-04,0,202520262006279,仪器分析B,李珂,化学化工学院,10304,C座410,1-8,全周,,调课
经济管理类2505,29,202520262002051,宏观经济学,黎翠梅,商学院,10304,C座501,1-12,全周,,调课
音乐表演2501-02班舞蹈表演2501,57,202520262001578,国家安全教育,刘勇为,马克思主义学院,10304,C座503,"10-12,14-16",全周,,调课
测绘2401-02,36,202520262007918,测绘程序设计基础,潘林,地球科学与信息物理学院,10304,C座503,1-8,全周,,调课
自动化与电气类2504-06,94,202520262000251,大学生心理健康教育（二）,曹文秀,马克思主义学院,10304,C座507,"10-12,14-16",全周,,调课
电气2403-04,58,202520262004012,电磁场理论与应用,吴志虎,自动化学院,10304,C座510,9-16,全周,,调课
中国语言文学类2507-08,60,202520262001948,中国古代文学史（二）,叶烨,人文学院,10304,C座510,1-8,全周,,调课
遥感测绘地信类2501-03,82,202520262002460,国家安全教育,张子峻,马克思主义学院,10304,D座101,"10-12,14-16",全周,,调课
大数据2301-04,0,202520262008695,智能计算系统,郭霖,大数据研究院,10304,D座101,1-16,全周,,调课
统计2401-03班应数T2401,0,202520262006480,运筹学,吴锦标,数学与统计学院,10304,D座103,3-16,全周,,调课
工商2401-02,45,202520262006168,财务管理学,章细贞,商学院,10304,D座107,1-8,全周,,调课
地勘2301班地勘2303,27,202520262013922,勘查学,刘清泉,地球科学与信息物理学院,10304,D座108,1-8,全周,,调课
测控2401班自动化2401-03,0,202520262004183,运筹学,周晓君,自动化学院,10304,D座113,1-4,全周,,调课
测控2401班自动化2401-03,0,202520262004183,运筹学,黄廷文,自动化学院,10304,D座113,5-8,全周,,调课
临床医学五年类2501-04,125,202520262001303,人工智能基础及应用（通识）B,裘嵘,计算机学院,10304,D座125,1-16,全周,,调课
机械T2301,0,202520262012837,人工智能与应用,陆新江,机电工程学院,10304,D座129,1-8,全周,,调课
法学2405,31,202520262000059,民事诉讼法,施瑶,法学院,10304,D座203,1-12,全周,,调课
自动化2301-03,97,202520262008236,习近平新时代中国特色社会主义思想概论,刘少博,马克思主义学院,10304,D座206,1-16,全周,,调课
信管2501,30,202520262020880,基础会计学,张波,商学院,10304,D座209,1-12,全周,,调课
冶金材料类2505,25,202520262003474,大学英语（二）,曹鑫,外国语学院,10304,外语网络楼101,1-16,全周,,调课
冶金材料类2504,28,202520262003450,大学英语（二）,李俊芳,外国语学院,10304,外语网络楼102,1-16,全周,,调课
软件工程2502,29,202520262000481,大学英语（二）,吴宁,外国语学院,10304,外语网络楼106,1-16,全周,,调课
社会2502,27,202520262000839,大学英语（二）,顾兰,外国语学院,10304,外语网络楼108,1-16,全周,,调课
法语2301,19,202520262010974,经贸法语,肖红文,外国语学院,10304,外语网络楼216,1-16,全周,,调课
法语2301,19,202520262010974,经贸法语,肖红文,外国语学院,10304,外语网络楼218,1-16,全周,,调课
自动化与电气类2507,31,202520262000302,大学英语（二）,刘可红,外国语学院,10304,外语网络楼223,1-16,全周,,调课
轨道交通安全类2509,23,202520262002604,大学英语（二）,陈慧,外国语学院,10304,外语网络楼227,1-16,全周,,调课
化学生物环境类2506,28,202520262002160,大学英语（二）,吴华,外国语学院,10304,外语网络楼229,1-16,全周,,调课
麻醉2502班,20,202520262001152,大学英语（二）,严安,外国语学院,10304,外语网络楼231,1-16,全周,,调课
轨道交通安全类2510,27,202520262002609,大学英语（二）,旷剑敏,外国语学院,10304,外语网络楼345,1-16,全周,,调课
城规2501,21,202520262001695,大学英语（二）,李艳花,外国语学院,10304,外语网络楼347,1-16,全周,,调课
城规2501,21,202520262001695,大学英语（二）,李艳花,外国语学院,10304,外语网络楼354,1-16,全周,,调课
城规2501,21,202520262001695,大学英语（二）,李艳花,外国语学院,10304,外语网络楼354,1-16,全周,,调课
电子信息类2502,34,202520262000735,大学英语（二）,石海英,外国语学院,10304,外语网络楼451,1-16,全周,,调课
信科2201-02班应数T2201,88,202520262019969,形势与政策,彭芬,马克思主义学院,10506,A座101,"2,4",全周,,调课
文史预科2501,20,202520262001468,经典作品选读（二）,徐艳兰,马克思主义学院,10506,A座102,13-16,全周,,调课
文史预科2501,20,202520262001468,经典作品选读（二）,梅乐,马克思主义学院,10506,A座102,1-5,全周,,调课
土木2403-04,42,202520262006598,结构力学A（一）,殷勇,土木工程学院,10506,A座110,8-16,全周,,调课
地勘2301-03,0,202520262013904,专业英语Ⅰ,张德贤,地球科学与信息物理学院,10506,A座110,"1-2,4",全周,,调课
能器2301,27,202520262013369,氢能基础与应用,杨娟,冶金与环境学院,10506,A座119,3-10,全周,,调课
测绘2301-02,0,202520262013868,组合导航,余文坤,地球科学与信息物理学院,10506,A座124,9-16,全周,,调课
自动化2307-08,61,202520262008249,电机拖动与运动控制系统,董密,自动化学院,10506,A座124,9-16,全周,,调课
文史预科2501,20,202520262001468,经典作品选读（二）,胡栋材,马克思主义学院,10506,A座213,17,全周,,调课
生工2401,28,202520262007609,分子生物学,杨宇,资源加工与生物工程学院,10506,A座222,9-16,全周,,调课
环境2402,0,202520262007553,环境化学,王晗,冶金与环境学院,10506,A座223,1-4,全周,,调课
金融2402,23,202520262006072,国际金融学,毛玮芳,商学院,10506,A座322,1-10,全周,,调课
机械2408,33,202520262007140,机械精度设计,傅志红,机电工程学院,10506,A座322,9-16,全周,,调课
冶金2402,28,202520262007503,冶金工程导论,何汉兵,冶金与环境学院,10506,A座322,1-8,全周,,调课
地信2401-03,0,202520262007955,地理空间智能数学基础,彭程里,地球科学与信息物理学院,10506,A座411,1-8,全周,,调课
化学生物环境类2513-14,49,202520262002200,工程制图基础B,钟国梁,机电工程学院,10506,A座414,1-12,全周,,调课
出版T2401班中文2404-05,70,202520262018665,形势与政策,刘珺,马克思主义学院,10506,B座113,"8,12",全周,,调课
中文2201-03,94,202520262019936,形势与政策,刘建亚,马克思主义学院,10506,B座113,"2,4",全周,,调课
国贸2301-02,57,202520262019573,形势与政策,易孝慈,人文学院,10506,B座113,"7,11",全周,,调课
计算机2407-09,84,202520262004308,操作系统原理,李玺,计算机学院,10506,B座114,1-16,全周,,调课
机械2411-12,59,202520262007175,机械原理与设计（二）,颜海燕,机电工程学院,10506,B座117,1-12,全周,,调课
智能2401-02,49,202520262004133,数据结构,刘丽珏,自动化学院,10506,B座118,1-14,全周,,调课
机械2402班机械2407,66,202520262007165,机械原理与设计（二）,郭海波,机电工程学院,10506,B座207,1-12,全周,,调课
思政2301,0,202520262010678,传播学概论,邹理,人文学院,10506,B座210,1-12,全周,,调课
机械2403班机械2406,66,202520262007176,机械原理与设计（二）,陈思雨,机电工程学院,10506,B座210,1-12,全周,,调课
工商2401-02,0,202520262006166,智慧物流,许民利,商学院,10506,B座303,1-4,全周,,调课
思政2401,30,202520262005479,比较思想政治教育,郭鹏飞,马克思主义学院,10506,B座305,1-12,全周,,调课
经济管理类2506,30,202520262002050,宏观经济学,黎翠梅,商学院,10506,B座305,1-12,全周,,调课
地质2401-02,0,202520262007798,工程流体力学,吴冬宇,地球科学与信息物理学院,10506,B座307,9-16,全周,,调课
电信2403-04,60,202520262004070,微机原理与接口技术,岳俊,自动化学院,10506,B座309,1-8,全周,,调课
电信2301-04,0,202520262008302,计算机网络原理,陈科文,自动化学院,10506,B座311,9-16,全周,,调课
制药2401-02,46,202520262018699,形势与政策,姜芳蕊,马克思主义学院,10506,B座314,"8,12",全周,,调课
会计2301-02,0,202520262011396,财务机器人,殷敬伟,商学院,10506,B座318,1-8,全周,,调课
车辆2301,0,202520262012570,汽车制造工艺学,陈敏,机电工程学院,10506,B座405,9-16,全周,,调课
机械2402班机械2407,66,202520262007165,机械原理与设计（二）,潘晓红,机电工程学院,10506,B座409,1-12,全周,,调课
智能2401（科创班）,29,202520262003928,自动控制原理,时伟,自动化学院,10506,B座409,9-16,全周,,调课
通信2401-03,83,202520262004552,"计算机程序设计基础(Java,Python)",杨迎泽,电子信息学院,10506,B座414,1-16,全周,,调课
信安2301-04,0,202520262008390,物联网技术及安全,张士庚,计算机学院,10506,B座501,1-16,全周,,调课
工商管理（高水平）2301,28,202520262011378,消费者行为学,张学军,商学院,10506,B座504,9-16,全周,,调课
信安2401-03,66,202520262004442,信息安全导论,曲哲,计算机学院,10506,B座505,1-16,双周,,调课
经济管理类2507,32,202520262002047,宏观经济学,李康祥,商学院,10506,B座506,1-12,全周,,调课
通信2404-05,53,202520262004549,"计算机程序设计基础(Java,Python)",蒋富,电子信息学院,10506,B座506,1-16,全周,,调课
统计2401-03,102,202520262006474,抽样技术与试验设计,杨柳青,数学与统计学院,10506,B座510,1-12,全周,,调课
新能源2401-02班建环2401-02,98,202520262006902,电子技术B,姜霞,自动化学院,10506,C座103,1-16,全周,,调课
电子信息类2501-03,103,202520262000699,大学生心理健康教育（二）,刘建亚,马克思主义学院,10506,C座111,"10-12,14-16",全周,,调课
信管T2401,16,202520262006194,凸优化,李金霖,商学院,10506,C座307,1-12,全周,,调课
通信2401-03,83,202520262004552,"计算机程序设计基础(Java,Python)",杨迎泽,电子信息学院,10506,C座307,1-16,单周,,调课
机械2410,33,202520262007138,机械精度设计,汤晓明,机电工程学院,10506,C座403,9-16,全周,,调课
地质2401-02,0,202520262007808,工程测量,陈必焰,地球科学与信息物理学院,10506,C座408,1-8,全周,,调课
机械类2507-09,83,202520262003134,大学生心理健康教育（二）,欧阳鹏,马克思主义学院,10506,C座508,"10-12,14-16",全周,,调课
能源类2504-06,88,202520262002951,大学生心理健康教育（二）,刘勇为,马克思主义学院,10506,C座508,"10-12,14-16",全周,,调课
计算机类2501-03,97,202520262018213,形势与政策,姜芳蕊,马克思主义学院,10506,C座508,"9,13",全周,,调课
电气2305-07,0,202520262008104,计算机控制技术,黎燕,自动化学院,10506,C座510,1-8,全周,,调课
交运2403-04,53,202520262006751,交通运输法规,付延冰,交通运输工程学院,10506,C座510,9-16,全周,,调课
材料Q2401,18,202520262007340,材料科学基础A（一）,蔡格梅,材料科学与工程学院,10506,D座101,1-14,全周,,调课
文史预科2501,20,202520262001468,经典作品选读（二）,李兰兰,马克思主义学院,10506,D座113,"6-8,10-12",全周,,调课
临床医学五年类2505-08,121,202520262001295,人工智能基础及应用（通识）B,裘嵘,计算机学院,10506,D座123,1-16,全周,,调课
应物2501,30,202520262002321,热学,银恺,物理学院,10506,D座125,2-13,全周,,调课
自动化T2401,23,202520262003941,自动控制原理 A,彭涛,自动化学院,10506,D座203,1-16,全周,,调课
采矿2403-04,45,202520262007689,创新创业导论,左绿水,公共管理学院,10506,D座206,1-16,全周,,调课
自动化2301-03,97,202520262008236,习近平新时代中国特色社会主义思想概论,刘少博,马克思主义学院,10506,D座206,1-16,全周,,调课
能源类2508,30,202520262002992,大学英语（二）,曹鑫,外国语学院,10506,外语网络楼103,1-16,全周,,调课
轨道交通安全类2514,25,202520262002624,大学英语（二）,邓煜,外国语学院,10506,外语网络楼104,1-16,全周,,调课
英语2303,17,202520262011072,英语散文,许燕,外国语学院,10506,外语网络楼206,1-16,全周,,调课
英语2505,0,202520262020922,英汉语比较,王晓东,外国语学院,10506,外语网络楼207,1-16,全周,,调课
英语2304,16,202520262011038,外语教学理论与实践,耿俐琴,外国语学院,10506,外语网络楼216,1-8,全周,,调课
土木国际2501,27,202520262002463,雅思听说（二）,赵科红,外国语学院,10506,外语网络楼225,1-16,全周,,调课
自动化T2501,0,202520262000179,大学英语（二）,吴宁,外国语学院,10506,外语网络楼227,1-16,全周,,调课
临床医学五年类2515,30,202520262001319,大学英语（二）,邓英姿,外国语学院,10506,外语网络楼229,1-16,全周,,调课
轨道交通安全类2502,25,202520262002613,大学英语（二）,田湘映,外国语学院,10506,外语网络楼230,1-16,全周,,调课
麻醉2501班,21,202520262001151,大学英语（二）,严安,外国语学院,10506,外语网络楼231,1-16,全周,,调课
统计2501,0,202520262002352,大学英语（二）,旷剑敏,外国语学院,10506,外语网络楼345,1-16,全周,,调课
能源类2511,30,202520262002988,大学英语（二）,朱妮娅,外国语学院,10506,外语网络楼353,1-16,全周,,调课
能源类2511,30,202520262002988,大学英语（二）,朱妮娅,外国语学院,10506,外语网络楼354,1-16,全周,,调课
化学生物环境类2515,20,202520262002152,大学英语（二）,康朝霞,外国语学院,10506,外语网络楼354,1-16,全周,,调课
机械类2510,28,202520262003205,大学英语（二）,张捷,外国语学院,10506,外语网络楼447,1-16,全周,,调课
地质2301-02,0,202520262013820,地基处理,李建中,地球科学与信息物理学院,10708,A座102,1-8,全周,,调课
轨道交通安全类2525-26,52,202520262002713,工程制图与数字化表达,肖雄,土木工程学院,10708,A座111,1-16,全周,,调课
交设D2501,29,202520262000119,工程制图基础,汤晓燕,机电工程学院,10708,A座115,1-16,全周,,调课
信科2401-02,0,202520262006418,数学建模,李志保,数学与统计学院,10708,A座117,3-16,全周,,调课
电信2401-02,60,202520262004069,微机原理与接口技术,薛晓鹏,自动化学院,10708,A座119,1-8,全周,,调课
化学生物环境类2509,27,202520262002199,工程制图基础B,袁望姣,机电工程学院,10708,A座212,1-12,全周,,调课
轨道交通安全类2510-11,52,202520262002699,工程制图与数字化表达,刘伟,土木工程学院,10708,A座212,1-16,全周,,调课
环境2401,0,202520262007554,环境化学,王晗,冶金与环境学院,10708,A座223,1-4,全周,,调课
遥感测绘地信类2501-03,82,202520262002460,国家安全教育,张子峻,马克思主义学院,10708,A座308,"10-12,14-16",全周,,调课
遥感测绘地信类2501-03,82,202520262018505,形势与政策,刘凯,地球科学与信息物理学院,10708,A座312,"9,13",全周,,调课
地质2401-02,0,202520262007800,地质工程信息技术,肖婷,地球科学与信息物理学院,10708,A座314,9-16,全周,,调课
测控2301,0,202520262008311,导航技术与控制应用,赵党军,自动化学院,10708,A座318,1-8,全周,,调课
材料国际2401-02,60,202520262007329,材料科学基础,蔡格梅,材料科学与工程学院,10708,A座319,1-16,全周,,调课
检验2503班基础医学拔尖2501班,53,202520262001432,国家安全教育,朱威夫,马克思主义学院,10708,A座321,11-16,全周,,调课
交设D2501,29,202520262000119,工程制图基础,汤晓燕,机电工程学院,10708,A座415,1-16,全周,,调课
光电2401-04,106,202520262006342,数字电子技术B,陈丽萍,自动化学院,10708,B座110,1-16,全周,,调课
智能2401-04,97,202520262004101,人工智能导论,刘丽珏,自动化学院,10708,B座113,1-8,全周,,调课
智能2401-04,0,202520262004113,计算机图形学,李仪,自动化学院,10708,B座114,9-16,全周,,调课
应物T2201班应物2201班运训2202,85,202520262019964,形势与政策,刘建亚,马克思主义学院,10708,B座114,"2,4",全周,,调课
智能2401-04,0,202520262004113,计算机图形学,李仪,自动化学院,10708,B座114,9-16,全周,,调课
智能2301-02,65,202520262008336,深度学习,李仪,自动化学院,10708,B座114,9-16,全周,,调课
材料2403,0,202520262007422,材料科学基础D（一）,张宁,材料科学与工程学院,10708,B座117,1-12,全周,,调课
应化2406,26,202520262006228,仪器分析A,李珂,化学化工学院,10708,B座118,1-12,全周,,调课
测控2401班自动化2401-03,0,202520262004191,系统建模与仿真技术,胡扬,自动化学院,10708,B座206,1-8,全周,,调课
计算机2403-04,55,202520262004305,操作系统原理,肖健宇,计算机学院,10708,B座208,1-16,单周,,调课
通信2401-05,0,202520262004532,数据与计算机通信,彭军,电子信息学院,10708,B座210,1-8,全周,,调课
电气2301-04,0,202520262008098,计算机控制技术,熊文静,自动化学院,10708,B座210,1-8,全周,,调课
冶金材料类2528-30,83,202520262003376,大学生心理健康教育（二）,程兰,马克思主义学院,10708,B座219,"10-12,14-16",全周,,调课
电气2301-04,0,202520262008098,计算机控制技术,熊文静,自动化学院,10708,B座219,1-8,全周,,调课
会计2301-02,0,202520262011394,文本分析与文本挖掘,李海,商学院,10708,B座301,9-16,全周,,调课
应物2301,0,202520262011556,半导体物理学,代国章,物理学院,10708,B座302,2-13,全周,,调课
信管2401,25,202520262006142,数字创新创业管理,王杨欣,商学院,10708,B座305,1-16,全周,,调课
地信2301-02,0,202520262013854,泛在地理信息感知及应用,刘慧敏,地球科学与信息物理学院,10708,B座320,1-8,全周,,调课
金融2402,23,202520262006072,国际金融学,毛玮芳,商学院,10708,B座411,1-10,全周,,调课
金融2402,23,202520262006072,国际金融学,毛玮芳,商学院,10708,B座411,1-10,全周,,调课
中文2404-05,58,202520262005951,中国古代文学（四）,习婷,人文学院,10708,B座415,1-12,全周,,调课
自动化2301-03,98,202520262018872,形势与政策,韩风华,马克思主义学院,10708,B座419,"7,11",全周,,调课
电气2404-06,87,202520262018528,形势与政策,韩风华,马克思主义学院,10708,B座419,"8,12",全周,,调课
临床医学五年类2509-10,60,202520262001411,有机化学C,李娟,化学化工学院,10708,B座501,1-14,全周,,调课
能动2401班能动2406,51,202520262006960,工程热力学,黄荣宗,能源科学与工程学院,10708,B座506,1-14,全周,,调课
计算机2407-09,84,202520262004335,计算机体系结构,王运波,大数据研究院,10708,B座507,1-16,单周,,调课
信安2301-04,0,202520262008402,恶意代码分析,张健,计算机学院,10708,B座510,1-16,全周,,调课
电气2305-07,87,202520262008153,电力系统分析,袁亮,自动化学院,10708,B座510,1-14,全周,,调课
安全2403,0,202520262007737,可靠性分析,石英,资源与安全工程学院,10708,B座513,1-8,全周,,调课
电气2305-07,87,202520262008153,电力系统分析,袁亮,自动化学院,10708,B座519,1-14,全周,,调课
计算机类2504-05,66,202520262018221,形势与政策,姜芳蕊,马克思主义学院,10708,C座104,"9,13",全周,,调课
检验2503,24,202520262001447,分析化学,张代亮,化学化工学院,10708,C座307,1-8,全周,,调课
机械2204-06,86,202520262020037,形势与政策,彭芬,马克思主义学院,10708,C座507,"2,4",全周,,调课
计算机类2504-05,66,202520262018221,形势与政策,姜芳蕊,马克思主义学院,10708,C座508,"9,13",全周,,调课
